"player_id" "gsis_name" "first_name" "last_name" "team" "position" "birthdate" "college" "X"
"1" "00-0034339" "" "Trey" "Quinn" "WAS" "WR" "" "Southern Methodist" ""
"2" "00-0035406" "" "Lil Jordan" "Humphrey" "NO" "WR" "" "Texas" ""
"3" "00-0033562" "" "Ryan" "Switzer" "PIT" "WR" "" "North Carolina" ""
"4" "00-0033382" "" "Austin" "Carr" "NO" "WR" "" "Northwestern" ""
"5" "00-0035208" "" "Olamide" "Zaccheaus" "ATL" "WR" "" "Virginia" ""
"6" "00-0034279" "" "Equanimious" "St. Brown" "GB" "WR" "" "Notre Dame" ""
"7" "00-0034309" "" "Chad" "Beebe" "MIN" "WR" "" "Northern Illinois" ""
"8" "00-0034272" "" "Marquez" "Valdes-Scantling" "GB" "WR" "" "South Florida" ""
"9" "00-0035527" "" "Andy" "Isabella" "ARI" "WR" "" "Massachusetts" ""
"10" "00-0034960" "" "Jakobi" "Meyers" "NE" "WR" "" "North Carolina State" ""
"11" "00-0034317" "" "Keith" "Kirkwood" "CAR" "WR" "" "Temple" ""
"12" "00-0033733" "" "Greg" "Ward" "PHI" "WR" "" "Houston" ""
"13" "00-0033375" "" "Tim" "Patrick" "DEN" "WR" "" "Utah" ""
"14" "00-0033555" "" "Mack" "Hollins" "MIA" "WR" "" "North Carolina" ""
"15" "00-0033292" "" "Trent" "Taylor" "SF" "WR" "" "Louisiana Tech" ""
"16" "00-0034273" "" "Damion" "Ratley" "CLE" "WR" "" "Texas A&M" ""
"17" "00-0034653" "" "Deontay" "Burnett" "PHI" "WR" "" "USC" ""
"18" "00-0033460" "" "John" "Ross III" "CIN" "WR" "" "Washington" ""
"19" "00-0035703" "" "Myles" "Boykin" "BAL" "WR" "" "Notre Dame" ""
"20" "00-0034411" "" "Russell" "Gage" "ATL" "WR" "" "LSU" ""
"21" "00-0034676" "" "James" "Washington" "PIT" "WR" "" "Oklahoma State" ""
"22" "00-0033943" "" "Josh" "Reynolds" "LA" "WR" "" "Texas A&M" ""
"23" "00-0034860" "" "Dante" "Pettis" "SF" "WR" "" "Washington" ""
"24" "00-0034777" "" "D.J." "Chark" "JAX" "WR" "" "LSU" ""
"25" "00-0033251" "" "Zach" "Pascal" "IND" "WR" "" "Old Dominion" ""
"26" "00-0035640" "" "D.K." "Metcalf" "SEA" "WR" "" "Mississippi" ""
"27" "00-0035216" "" "Diontae" "Johnson" "PIT" "WR" "" "Toledo" ""
"28" "00-0035662" "" "Marquise" "Brown" "BAL" "WR" "" "Oklahoma" ""
"29" "00-0034775" "" "Christian" "Kirk" "ARI" "WR" "" "Texas A&M" ""
"30" "00-0034983" "" "Hunter" "Renfrow" "OAK" "WR" "" "Clemson" ""
"31" "00-0034510" "" "Reuben" "Foster" "NYG" "WR" "" "LSU" ""
"32" "00-0034521" "" "Allen" "Lazard" "GB" "WR" "" "Iowa State" ""
"33" "00-0033839" "" "Dede" "Westbrook" "JAX" "WR" "" "Oklahoma" ""
"34" "00-0035535" "" "Darius" "Slayton" "NYG" "WR" "" "Auburn" ""
"35" "00-0033681" "" "Keelan" "Cole" "JAX" "WR" "" "Kentucky Wesleyan" ""
"36" "00-0035140" "" "Mecole" "Hardman" "KC" "WR" "" "Georgia" ""
"37" "00-0034353" "" "Anthony" "Miller" "CHI" "WR" "" "Memphis" ""
"38" "00-0035719" "" "Deebo" "Samuel" "SF" "WR" "" "South Carolina" ""
"39" "00-0033307" "" "Kendrick" "Bourne" "SF" "WR" "" "Eastern Washington" ""
"40" "00-0034765" "" "Tre'Quan" "Smith" "NO" "WR" "" "Central Florida" ""
"41" "00-0033871" "" "Corey" "Davis" "TEN" "WR" "" "Western Michigan" ""
"42" "00-0035659" "" "Terry" "McLaurin" "WAS" "WR" "" "Ohio State" ""
"43" "00-0035676" "" "A.J." "Brown" "TEN" "WR" "" "Mississippi" ""
"44" "00-0034764" "" "Michael" "Gallup" "DAL" "WR" "" "Colorado State" ""
"45" "00-0034827" "" "D.J." "Moore" "CAR" "WR" "" "Maryland" ""
"46" "00-0033536" "" "Mike" "Williams" "LAC" "WR" "" "Clemson" ""
"47" "00-0034348" "" "Courtland" "Sutton" "DEN" "WR" "" "Southern Methodist" ""
"48" "00-0034753" "" "Mark" "Andrews" "BAL" "TE" "" "Oklahoma" ""
"49" "00-0034837" "" "Calvin" "Ridley" "ATL" "WR" "" "Alabama" ""
"50" "00-0033857" "" "Juju" "Smith-Schuster" "PIT" "WR" "" "USC" ""
"51" "00-0033932" "" "Kenny" "Golladay" "DET" "WR" "" "Northern Illinois" ""
"52" "00-0033288" "" "George" "Kittle" "SF" "TE" "" "Iowa" ""
"53" "00-0033921" "" "Chris" "Godwin" "TB" "WR" "" "Penn State" ""
"54" "00-0033908" "" "Cooper" "Kupp" "LA" "WR" "" "Eastern Washington" ""
"55" "00-0034975" "" "Justice" "Hill" "BAL" "RB" "" "Oklahoma State" ""
